task_id,category,asset_id,style_tag,text_desc,target_height_m,target_width_m,target_depth_m,poly_budget_k,texture_budget,max_materials,deliverables,license,source,status
T0001,bench,bench_001,modern,"a sleek modern steel park bench with flat slab seat and thin tubular legs",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0002,bench,bench_002,classic,"a classic wooden slatted park bench with curved armrests and cast iron scroll legs",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0003,bench,bench_003,industrial,"an industrial heavy-duty metal bench with perforated steel seat and thick angle-iron frame",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0004,bench,bench_004,minimalist,"a minimalist concrete slab bench with no backrest and hidden pedestal base",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0005,bench,bench_005,ornate,"an ornate wrought-iron bench with decorative scrollwork backrest and gold-tipped armrests",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0006,bench,bench_006,retro,"a retro 1950s diner-style bench with rounded chrome legs and bright colored seat",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0007,bench,bench_007,modular,"a modular interlocking bench system with three separate colored seat segments",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0008,bench,bench_008,eco,"an eco-friendly recycled timber bench with natural bark texture and green tinted legs",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0009,bench,bench_009,brutalist,"a brutalist raw concrete bench with thick monolithic slab seat and block supports",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0010,bench,bench_010,nordic,"a nordic light birch wood bench with slender tapered legs and low curved backrest",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0011,bench,bench_011,japan_scandi,"a Japanese-Scandinavian zen bench with low profile seat and minimal wooden frame",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0012,bench,bench_012,victorian,"a Victorian ornamental cast iron bench with decorative floral backrest and claw feet",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0013,bench,bench_013,contemporary,"a contemporary asymmetric bench with angled backrest and mixed metal-wood materials",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0014,bench,bench_014,tactical,"a tactical anti-vandal bench with center divider armrests and bolted steel frame",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0015,bench,bench_015,art_deco,"an art deco geometric bench with stepped zigzag backrest and gold-black contrast finish",1.00,1.80,0.60,15,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0016,lamp,lamp_001,modern,"a modern slim cylindrical street lamp with flat rectangular LED head and round base plate",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0017,lamp,lamp_002,classic,"a classic tapered street lamp with spherical glass globe lantern and flared base",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0018,lamp,lamp_003,industrial,"an industrial heavy square-pole street lamp with large rectangular floodlight head",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0019,lamp,lamp_004,minimalist,"a minimalist ultra-thin pole lamp with tiny disc light at the tip and flush base",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0020,lamp,lamp_005,ornate,"an ornate multi-arm street lamp with three curved branches each holding a sphere lantern",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0021,lamp,lamp_006,retro,"a retro gooseneck street lamp with large bowl-shaped shade and ribbed pole",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0022,lamp,lamp_007,modular,"a modular segmented street lamp with visible joint rings between pole sections",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0023,lamp,lamp_008,eco,"an eco solar-powered street lamp with tilted panel on top and cylindrical LED head",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0024,lamp,lamp_009,brutalist,"a brutalist massive concrete-finish square lamp post with embedded rectangular light",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0025,lamp,lamp_010,nordic,"a nordic slender birch-toned lamp post with small conical downlight shade",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0026,lamp,lamp_011,japan_scandi,"a Japanese-Scandinavian paper-lantern style lamp with wooden pole and box shade",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0027,lamp,lamp_012,victorian,"a Victorian cast iron street lamp with four ornamental branches and glass globe tops",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0028,lamp,lamp_013,contemporary,"a contemporary angled street lamp with tilted arm and elongated oval light head",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0029,lamp,lamp_014,tactical,"a tactical high-visibility lamp with armored cylindrical housing and reflective yellow band",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0030,lamp,lamp_015,art_deco,"an art deco stepped lamp post with tiered geometric base and fan-shaped light crown",5.00,0.40,0.40,20,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0031,trash,trash_001,modern,"a modern cylindrical stainless steel trash bin with swing-top lid and foot pedal",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0032,trash,trash_002,classic,"a classic green painted square trash bin with hinged dome lid and side handles",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0033,trash,trash_003,industrial,"an industrial heavy wire mesh trash cage with reinforced steel frame and flat lid",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0034,trash,trash_004,minimalist,"a minimalist slim white cylindrical trash bin with narrow slot opening at top",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0035,trash,trash_005,ornate,"an ornate decorative trash receptacle with scrollwork panels and domed brass lid",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0036,trash,trash_006,retro,"a retro round trash can with dome top and bold colored horizontal stripe band",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0037,trash,trash_007,modular,"a modular dual-compartment recycling bin with separate colored lids for sorting",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0038,trash,trash_008,eco,"an eco-friendly wooden slat trash bin with green-tinted metal frame and open top",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0039,trash,trash_009,brutalist,"a brutalist heavy concrete cube trash bin with square opening and no lid",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0040,trash,trash_010,nordic,"a nordic light wood barrel-shaped trash bin with simple round lid and peg handle",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0041,trash,trash_011,japan_scandi,"a Japanese-Scandinavian clean-line square wooden trash bin with push flap top",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0042,trash,trash_012,victorian,"a Victorian cast iron trash bin with ornate leaf-pattern panels and ball feet",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0043,trash,trash_013,contemporary,"a contemporary tapered oval trash bin with side-slot opening and brushed metal finish",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0044,trash,trash_014,tactical,"a tactical fire-resistant heavy gauge steel trash bin with locking lid and warning stripes",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0045,trash,trash_015,art_deco,"an art deco hexagonal trash bin with stepped geometric lid and gold-black panels",1.10,0.70,0.70,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0046,tree,tree_001,modern,"a modern geometric street tree with clean cylindrical trunk and spherical clipped canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0047,tree,tree_002,classic,"a classic broadleaf oak tree with thick straight trunk and large round canopy crown",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0048,tree,tree_003,industrial,"an industrial street tree with bare trunk and compact dense ball-shaped foliage top",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0049,tree,tree_004,minimalist,"a minimalist slender pole tree with thin trunk and small single sphere canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0050,tree,tree_005,ornate,"an ornate flowering tree with forked trunk and triple-sphere clustered canopy with pink tones",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0051,tree,tree_006,retro,"a retro umbrella-shaped tree with straight trunk and wide flat disc canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0052,tree,tree_007,modular,"a modular layered tree with cylindrical trunk and stacked horizontal disc canopy tiers",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0053,tree,tree_008,eco,"an eco native tree with irregular trunk and multi-blob organic canopy shape",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0054,tree,tree_009,brutalist,"a brutalist cubic topiary tree with thick square trunk and box-shaped clipped canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0055,tree,tree_010,nordic,"a nordic conifer pine tree with slender trunk and tall narrow cone-shaped canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0056,tree,tree_011,japan_scandi,"a Japanese maple tree with curved trunk and delicate wide flat spreading canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0057,tree,tree_012,victorian,"a Victorian formal garden tree with straight trunk and tall oval clipped canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0058,tree,tree_013,contemporary,"a contemporary asymmetric tree with leaning trunk and offset irregular canopy mass",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0059,tree,tree_014,tactical,"a tactical hedge-trimmed tree with straight trunk and rectangular block-cut canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0060,tree,tree_015,art_deco,"an art deco spiral topiary tree with spiraling trunk and tiered cone canopy",6.00,2.50,2.50,25,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0061,bus_stop,bus_stop_001,modern,"a modern glass and steel bus shelter with flat cantilevered roof and two transparent side panels",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0062,bus_stop,bus_stop_002,classic,"a classic brick-column bus shelter with pitched roof and wooden bench inside",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0063,bus_stop,bus_stop_003,industrial,"an industrial corrugated metal bus shelter with steel I-beam frame and open front",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0064,bus_stop,bus_stop_004,minimalist,"a minimalist floating-roof bus shelter with two thin poles and no side walls",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0065,bus_stop,bus_stop_005,ornate,"an ornate wrought-iron bus shelter with arched decorative roof and scrollwork columns",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0066,bus_stop,bus_stop_006,retro,"a retro rounded-corner bus shelter with colorful curved panels and chrome trim",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0067,bus_stop,bus_stop_007,modular,"a modular clip-together bus shelter with visible bolt connections and interchangeable panels",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0068,bus_stop,bus_stop_008,eco,"an eco green-roof bus shelter with wooden frame and planter box on top",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0069,bus_stop,bus_stop_009,brutalist,"a brutalist heavy concrete slab bus shelter with thick walls and narrow opening",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0070,bus_stop,bus_stop_010,nordic,"a nordic light timber bus shelter with simple gable roof and open sides",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0071,bus_stop,bus_stop_011,japan_scandi,"a Japanese-Scandinavian bus shelter with lattice screen walls and low sweeping roof",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0072,bus_stop,bus_stop_012,victorian,"a Victorian ornamental bus shelter with pointed spire roof and decorative iron columns",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0073,bus_stop,bus_stop_013,contemporary,"a contemporary wave-roof bus shelter with curved steel canopy and slim supports",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0074,bus_stop,bus_stop_014,tactical,"a tactical reinforced bus shelter with thick steel panels and anti-climb roof edge",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0075,bus_stop,bus_stop_015,art_deco,"an art deco bus shelter with stepped geometric roof profile and gold-trimmed columns",2.80,3.50,1.50,30,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0076,mailbox,mailbox_001,modern,"a modern flat-top rectangular steel mailbox on a slim cylindrical post",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0077,mailbox,mailbox_002,classic,"a classic red British pillar-box style cylindrical mailbox with domed top",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0078,mailbox,mailbox_003,industrial,"an industrial riveted steel box mailbox with heavy-duty hinged door and square post",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0079,mailbox,mailbox_004,minimalist,"a minimalist thin white column mailbox with flush slot opening and hidden base",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0080,mailbox,mailbox_005,ornate,"an ornate cast bronze mailbox with decorative eagle finial and scrollwork panels",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0081,mailbox,mailbox_006,retro,"a retro bulbous rounded mailbox with bright paint and large pull-down chute",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0082,mailbox,mailbox_007,modular,"a modular multi-slot mailbox unit with stacked compartments and labeled doors",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0083,mailbox,mailbox_008,eco,"an eco wooden mailbox with bark-textured body and green recycled metal post",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0084,mailbox,mailbox_009,brutalist,"a brutalist raw concrete block mailbox with narrow slit opening and flat slab top",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0085,mailbox,mailbox_010,nordic,"a nordic light birch wood mailbox with peaked house-shaped top and slim post",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0086,mailbox,mailbox_011,japan_scandi,"a Japanese-Scandinavian simple box mailbox with bamboo-tone body and sliding door",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0087,mailbox,mailbox_012,victorian,"a Victorian cast iron mailbox with fluted column post and crown-shaped cap",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0088,mailbox,mailbox_013,contemporary,"a contemporary angled wedge-shaped mailbox with brushed aluminum body on steel post",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0089,mailbox,mailbox_014,tactical,"a tactical armored mailbox with thick walls and reinforced lock plate on sturdy post",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0090,mailbox,mailbox_015,art_deco,"an art deco fan-topped mailbox with stepped geometric body and gold-black finish",1.40,0.60,0.60,10,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0091,hydrant,hydrant_001,modern,"a modern streamlined fire hydrant with smooth cylindrical body and two compact side valves",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0092,hydrant,hydrant_002,classic,"a classic American fire hydrant with barrel body dome cap and three protruding valve nozzles",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0093,hydrant,hydrant_003,industrial,"an industrial dry-barrel fire hydrant with square flanged body and large side outlet",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0094,hydrant,hydrant_004,minimalist,"a minimalist slim pillar fire hydrant with flush valves and clean round profile",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0095,hydrant,hydrant_005,ornate,"an ornate decorated fire hydrant with embossed rings and polished brass cap detail",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0096,hydrant,hydrant_006,retro,"a retro squat fire hydrant with wide body and oversized rounded valve handles",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0097,hydrant,hydrant_007,modular,"a modular sectioned fire hydrant with visible coupling joints between body segments",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0098,hydrant,hydrant_008,eco,"an eco-marked green-banded fire hydrant with recycled cast iron body and leaf emblem",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0099,hydrant,hydrant_009,brutalist,"a brutalist blocky square fire hydrant with angular body and flat-top cap",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0100,hydrant,hydrant_010,nordic,"a nordic slender tapered fire hydrant with small side outlets and light grey finish",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0101,hydrant,hydrant_011,japan_scandi,"a Japanese-style compact fire hydrant with low profile and minimalist rounded cap",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0102,hydrant,hydrant_012,victorian,"a Victorian ornamental fire hydrant with fluted column body and decorative dome top",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0103,hydrant,hydrant_013,contemporary,"a contemporary smooth conical fire hydrant with integrated valve covers and satin finish",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0104,hydrant,hydrant_014,tactical,"a tactical high-visibility fire hydrant with reflective yellow-black bands and armored cap",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0105,hydrant,hydrant_015,art_deco,"an art deco tiered fire hydrant with stepped geometric rings and gold accent bands",1.00,0.50,0.50,12,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0106,bollard,bollard_001,modern,"a modern brushed steel cylindrical bollard with rounded dome cap and flush base",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0107,bollard,bollard_002,classic,"a classic cast iron bollard with chain-loop ring near top and mushroom cap",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0108,bollard,bollard_003,industrial,"an industrial heavy square steel bollard with flat top plate and welded base",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0109,bollard,bollard_004,minimalist,"a minimalist slim white cylinder bollard with no cap and simple flat top",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0110,bollard,bollard_005,ornate,"an ornate decorative bollard with carved spiral column and acorn-shaped finial cap",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0111,bollard,bollard_006,retro,"a retro bulbous cannon-shaped bollard with wide middle and tapered ends",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0112,bollard,bollard_007,modular,"a modular banded bollard with alternating yellow-black reflective stripe rings",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0113,bollard,bollard_008,eco,"an eco wooden timber bollard with natural bark texture and rounded top",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0114,bollard,bollard_009,brutalist,"a brutalist raw concrete square bollard with exposed aggregate surface and flat top",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0115,bollard,bollard_010,nordic,"a nordic slim light birch-toned bollard with gentle taper and small dome cap",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0116,bollard,bollard_011,japan_scandi,"a Japanese-Scandinavian stone-look low bollard with rounded pebble shape and matte finish",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0117,bollard,bollard_012,victorian,"a Victorian fluted cast iron bollard with urn-shaped profile and leaf-motif cap",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0118,bollard,bollard_013,contemporary,"a contemporary tapered stainless steel bollard with angled cut top and LED ring",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0119,bollard,bollard_014,tactical,"a tactical crash-rated bollard with thick reinforced cylinder and high-visibility red band",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
T0120,bollard,bollard_015,art_deco,"an art deco octagonal bollard with geometric faceted body and gold-tipped pyramid cap",1.10,0.25,0.25,8,2K,3,mesh_glb+preview_png,cc-by-4.0,ai_generated,pending
